Name,V_bug,V_rap,V_voi,V_rob
Albuquerque,1722,10737,118638,50085
Arlington,542,5024,42280,20435
Atlanta,6249,17134,234928,170759
Aurora,594,6485,51435,19093
Austin,1456,11388,59057,43710
Baltimore,11743,25703,434120,359125
Boston,3043,25703,434120,359125
Buffalo,2039,15843,184646,170604
Charlotte,2742,9348,77670,74807
Chicago,27727,10864,155752,84853
Cincinnati,2057,90209,951805,891145
Cleveland,5284,11841,60640,67274
Columbus,3341,23770,98467,167370
Dallas,10148,22455,71789,119480
Denver,2616,33048,277602,251894
Detroit,19497,16046,85652,62621
El Paso,1075,40857,420940,436709
Fairfax,592,8830,105306,34074
Fort Worth,3645,3617,107692,17034
Fresno,1904,15447,73621,76925
Honolulu,1210,6328,40373,55858
Houston,15179,10093,367276,43096
Indianapolis,3850,40207,150160,396877
Jacksonville,3918,18662,173129,106835
Kansas City,4560,17675,181038,94632
Las Vegas,4004,15899,151613,109738
Long Beach,2456,19199,76344,130103
Los Angeles,32269,7505,1315263,89198
Memphis,5667,84575,1315263,973648
Mesa,512,84575,189082,973648
Miami,4324,25860,50433,172534
Miami-Dade,5409,4689,183075,14501
Milwaukee,4053,7500,302554,168544
Minneapolis,1831,21028,96876,171070
Montgomery,732,12579,83265,116542
Nashville,3149,6083,33800,32688
Nassau,703,15887,165843,85261
New Orleans,9149,2669,29265,35070
New York,46824,12209,109681,135695
Newark,3900,99551,1757519,2309302
Oakland,4390,10353,108693,147736
Oklahoma City,2553,14289,123846,131467
Omaha,1205,15577,110626,53418
Orlando,851,5952,71569,36715
Philadelphia,14310,35996,78961,402202
Phoenix,5688,19220,294561,128296
Pittsburgh,2005,7473,197849,89068
Portland,1395,14167,57941,79667
Prince George's County,3386,11301,135936,109871
Raleigh,705,3290,104798,22446
Sacramento,1920,7327,36002,68116
Salt Lake City,562,5224,73492,19738
San Antonio,5420,22150,25223,91720
San Diego,3112,14599,134440,106365
San Francisco,3535,14211,179318,202335
San Jose,1483,13915,133427,43898
Seattle,1637,11480,104852,81833
St. Louis,6779,11879,105006,151553
Suffolk,1234,4081,203952,40718
Tampa,1669,8730,47541,74684
Tucson,1588,10607,138179,43433
Tulsa,1682,10701,93217,38693
Virginia Beach,660,4115,100732,15490
"Washington, D.C.",9727,11701,183733,220692
Wichita,1071,8662,51428,28498
