"name","parent","value"
"Origin","",""
"1975","Origin","9146"
"1976","Origin","8326"
"1977","Origin","8409"
"1978","Origin","8651"
"1979","Origin","9885"
"1980","Origin","10677"
"1981","Origin","10286"
"1982","Origin","9587"
"1983","Origin","9063"
"1984","Origin","8584"
"1985","Origin","8648"
"1986","Origin","9734"
"1987","Origin","9407"
"1988","Origin","9743"
"1989","Origin","10523"
"1990","Origin","11866"
"1991","Origin","12288"
"1992","Origin","11729"
"1993","Origin","11919"
"1994","Origin","10816"
"1995","Origin","10041"
"1996","Origin","8941"
"1997","Origin","7954"
"1998","Origin","7113"
"1999","Origin","6822"
"2000","Origin","6774"
"2001","Origin","6629"
"2002","Origin","7130"
"2003","Origin","7255"
"2004","Origin","6939"
"2005","Origin","7103"
"2006","Origin","7384"
"2007","Origin","7051"
"2008","Origin","6715"
"2009","Origin","5985"
"2010","Origin","5867"
"2011","Origin","5702"
"2012","Origin","5848"
"2013","Origin","5344"
"2014","Origin","5349"
"2015","Origin","3821"
